"Direct Sale","Direct Sale"
"DirectEbanking", "sofortüberweisung.de"
"DirectEbankingAT", "SOFORT Überweisung (AT)"
"DirectEbankingBE", "SOFORT Überweisung (BE)"
"DirectEbankingCH", "SOFORT Überweisung (CH)"
"DirectEbankingDE", "SOFORT Überweisung (DE)"
"DirectEbankingFR", "SOFORT Überweisung (FR)"
"DirectEbankingGB", "SOFORT Überweisung (GB)"
"DirectLink Maintenance API URL", "DirectLink Maintenance API URL"
"Disallowed file type.","Disallowed file type."
"Documentation", "Documentation"
"Don't forget to set your shipping method to use KWIXO in the best way", "Don't forget to set your shipping method to use KWIXO in the best way"
"Download Logfile", "Download Logfile"
"Download","Download"
"E-Mail template for suspending/canceling a subscription", "E-Mail template for suspending/canceling a subscription"
"e.g: black","e.g: black"
"e.g: Verdana","e.g: Verdana"
"e.g: white","e.g: white"
"ECOM_BILLTO_POSTAL_STREET_NUMBER","House number of invoicing address"
"ECOM_SHIPTO_POSTAL_NAME_PREFIX", "Delivery customer's salutation"
"ECOM_SHIPTO_POSTAL_STREET_LINE1","Delivery address"
"ECOM_SHIPTO_POSTAL_STREET_NUMBER","Delivery house number"
"ECOM_SHIPTO_TELECOM_PHONE_NUMBER", "Delivery customer's phone number"
"Enable 3D secure","Enable 3D secure"
"Enable device fingerprinting","Enable device fingerprinting"
"Enable for backend", "Enable for backend"
"Enable inline payment (Direct Link) for these card types", "Enable inline payment (Direct Link) for these card types"
"Enable redirect payment for all card types", "Enable redirect payment for all card types"
"Enable state restriction","Enable state restriction"
"Enable this if you wish to use fraud detection", "Enable this if you wish to use fraud detection"
"Enable tracking code", "Enable tracking code for fraud detection"
"Enabled Alias Manager", "Enabled Alias Manager"
"Enabled Card Types","Enabled Card Types"
"English", "English"
"Enter new bank data...","Enter new bank data..."
"Enter new credit card data...", "Enter new credit card data..."
"Enter the TemplateRootId you received from Ingenico ePayments (Ogone) or the url to an external template.", "Enter the TemplateRootId you received from Ingenico ePayments (Ogone) or the url to an external template."
"Error transaction count is %s instead of 1 for the Payid '%s'", "Error transaction count is %s instead of 1 for the Payid '%s'"
"Error, transaction count is %s instead of 1 for the Payid '%s', order '%s' and Operation '%s'.","Error, transaction count is %s instead of 1 for the Payid '%s', order '%s' and Operation '%s'."
"Estimated Delivery Date", "Estimated delivery delay (in days)"
"Existing Ingenico ePayments (Ogone) transaction", "Existing Ingenico ePayments (Ogone) transaction"
"Expiration Date","Expiration Date"
"expires: %s", "expires: %s"
"Extension Version", "Extension Version"
"FAILURE_TOKEN","Your payment data could not be saved by Ingenico ePayments (Ogone). Please <a href='javascript:void(0)' onclick='payment.reloadIframe();'>retry</a> or select another payment method."
"FAILURE_TOKEN_FRONTEND","Your payment data could not be saved by Ingenico ePayments (Ogone). Please <a href='javascript:void(0)' onclick='payment.handleBrandChange();'>retry</a> or select another payment method."
"First Aid - FAQ", "First Aid - FAQ"
"Flowers & gifts","Flowers & gifts"
"Font Family of the Ingenico ePayments (Ogone) Template","Font Family of the Ingenico ePayments (Ogone) Template"
"Food & gastronomy","Food & gastronomy"
"For an easier PCI compliance we recommend redirect mode, iFrame mode or dynamic template with the template hosted on Ingenico ePayments (Ogone) servers. This does NOT affect the Hosted Tokenization iFrame (HTP).", "For an easier PCI compliance we recommend redirect mode, iFrame mode or dynamic template with the template hosted on Ingenico ePayments (Ogone) servers. This does NOT affect the Hosted Tokenization iFrame (HTP)."
"For the selected card types, the customer can enter the credit card details directly in the checkout.","For the selected card types, the customer can enter the credit card details directly in the checkout."
"German", "German"
"Hash algorithm", "Hash algorithm"
"Hash is not valid","Hash is not valid"
"Health & beauty","Health & beauty"
"Here you can enter the desired text which is used for existing alias, the text will be displayed on Ingenico ePayments (Ogone) side.","Here you can enter the desired text which is used for existing alias, the text will be displayed on Ingenico ePayments (Ogone) side."
"Here you can enter the desired text which will be displayed on Ingenico ePayments (Ogone) side.","Here you can enter the desired text which will be displayed on Ingenico ePayments (Ogone) side."
"Hifi, photo & video","Hifi, photo & video"
"Home & garden","Home & garden"
"Horizontally grouped logo with group name on left","Horizontally grouped logo with group name on left"
"Horizontally grouped logo with no group name","Horizontally grouped logo with no group name"
"IBAN: %s", "IBAN: %s"
"If activated an extra parameter is transmitted to Ingenico ePayments (Ogone) for the Creditcard/Debitcard payment methods.","If activated an extra parameter is transmitted to Ingenico ePayments (Ogone) for the Creditcard/Debitcard payment methods."
"If Automatic Payment Reminder is enabled too, it's configuration will be taken into account to prevent reminder emails and cancellations from happening at the same time.", "If Automatic Payment Reminder is enabled too, it's configuration will be taken into account to prevent reminder emails and cancellations from happening at the same time."
"If enabled the order status changes that differ from the expected status of the order for the Ingenico ePayments (Ogone) status will get reverted. This can cause conflicts if you use custom order statuses.","If enabled the order status changes that differ from the expected status of the order for the Ingenico ePayments (Ogone) status will get reverted. This can cause conflicts if you use custom order statuses."
"If set to <em>Yes</em>, customers will be redirected to the external Ingenico ePayments (Ogone) payment page.","If set to <em>Yes</em>, customers will be redirected to the external Ingenico ePayments (Ogone) payment page."
"If the customer's credit card supports 3D Secure, he will be redirected to an external page to enter his password.","If the customer's credit card supports 3D Secure, he will be redirected to an external page to enter his password."
"If this checkbox is marked, the refund will be final: the transaction will be closed and it will not be possible to perform any further refund for this transaction.", "If this checkbox is marked, the refund will be final: the transaction will be closed and it will not be possible to perform any further refund for this transaction."
"If this option is enabled, the customer's alias data will be saved in the shop. The data can then be used again later if the buyer has stored them permanently on Ingenico ePayments (Ogone) side.", "If this option is enabled, the customer's alias data will be saved in the shop. The data can then be used again later if the buyer has stored them permanently on Ingenico ePayments (Ogone) side."
"If you choose 'Ingenico ePayments (Ogone)', you will need to fill in all the following fields.","If you choose 'Ingenico ePayments (Ogone)', you will need to fill in all the following fields."
"Incorrect credit card expiration date.","Incorrect credit card expiration date."
"invalid BIC provided", "Invalid BIC provided"
"invalid data provided", "Invalid data provided"
"Invalid IBAN provided", "Invalid IBAN provided"
"Invalid payment information provided!", "Invalid payment information provided!"
"Invoice '%s' was created automatically. Ingenico ePayments (Ogone) Status: %s.","Invoice '%s' was created automatically. Ingenico ePayments (Ogone) Status: %s."
"Invoice terms title","Invoice terms title"
"Invoice terms URL","Invoice terms URL"
"Invoice will be created automatically as soon as Ingenico ePayments (Ogone) sends an acknowledgement. Ingenico ePayments (Ogone) status: %s.","Invoice will be created automatically as soon as Ingenico ePayments (Ogone) sends an acknowledgement. Ingenico ePayments (Ogone) status: %s."
"Jewelry & precious metals","Jewelry & precious metals"
"Kwixo Category Mapping", "Kwixo Category Mapping"
"Kwixo category", "Kwixo category"
